path,bytes,words,title,h1,description,canonical,refresh,in_sitemap
404.html,3709,64,Сторінку не знайдено | YOURECO Довідник,Сторінку не знайдено,"Сторінку не знайдено. Перейдіть на головну сторінку YOURECO Довідника або оберіть основний розділ про утилізацію, переробку, сортування, логістику чи документи.",https://guide.youreco.com.ua/404.html,,no
articles/index.html,5004,196,Перенаправлення до головної сторінки — YOURECO,Перенаправлення до головної сторінки,"Службова сторінка перенаправляє до головної сторінки довідника YOURECO з основними розділами про утилізацію, переробку й документи.",https://guide.youreco.com.ua/,0; url=/,no
dokumenty-dlya-utylizaciyi-vidhodiv.html,8128,485,Службова сторінка: документи для утилізації відходів | YOURECO,Документи для утилізації відходів,"Довідка для підприємств про «документи для утилізації відходів»: що включає, як підготувати партію, правила зберігання, логістика, документи та типові помилки.",https://guide.youreco.com.ua/dokumenty-dlya-utylizaciyi-vidhodiv.html,,no
kontakty.html,10124,356,Контакти — Довідник YOURECO,"Контакти
             довідник YOURECO","Контакти YOURECO: телефони, email, месенджери, адреса офісу та виробничі майданчики. Коротка довідка про компанію та реквізити.",https://guide.youreco.com.ua/kontakty.html,,no
kudy-zdaty-avtoshyn.html,3841,129,Куди здати автошини — Довідник YOURECO,Куди здати автошини,"Практичний гайд про те, куди здати автошини, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-avtoshyn.html,0; url=/utylizaciya-avtoshyn.html,no
kudy-zdaty-budivelnyh-vidhodiv.html,4217,140,Куди здати будівельні відходи — Довідник YOURECO,Куди здати будівельні відходи,"Практичний гайд про те, куди здати будівельні відходи, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-budivelnyh-vidhodiv.html,0; url=/utylizaciya-budivelnyh-vidhodiv.html,no
kudy-zdaty-derevyny-z-budivnyctva.html,4226,138,Куди здати деревину з будівництва — Довідник YOURECO,Куди здати деревину з будівництва,"Практичний гайд про те, куди здати деревину з будівництва, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-derevyny-z-budivnyctva.html,0; url=/utylizaciya-derevyny-z-budivnyctva.html,no
kudy-zdaty-dokumentiv.html,4086,136,Куди здати документи — Довідник YOURECO,Куди здати документи,"Практичний гайд про те, куди здати документи, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-dokumentiv.html,0; url=/utylizaciya-dokumentiv.html,no
kudy-zdaty-energetychnyh-napoyiv.html,4221,145,Куди здати енергетичні напої — Довідник YOURECO,Куди здати енергетичні напої,"Практичний гайд про те, куди здати енергетичні напої, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-energetychnyh-napoyiv.html,0; url=/utylizaciya-energetychnyh-napoyiv.html,no
kudy-zdaty-fruktiv-ta-ovochiv.html,4120,142,Куди здати фрукти та овочі — Довідник YOURECO,Куди здати фрукти та овочі,"Практичний гайд про те, куди здати фрукти та овочі, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-fruktiv-ta-ovochiv.html,0; url=/utylizaciya-fruktiv-ta-ovochiv.html,no
kudy-zdaty-fruktiv.html,3934,135,Куди здати фрукти — Довідник YOURECO,Куди здати фрукти,"Практичний гайд про те, куди здати фрукти, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-fruktiv.html,0; url=/utylizaciya-fruktiv.html,no
kudy-zdaty-gazovanyh-napoyiv.html,4095,137,Куди здати газовані напої — Довідник YOURECO,Куди здати газовані напої,"Практичний гайд про те, куди здати газовані напої, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-gazovanyh-napoyiv.html,0; url=/utylizaciya-gazovanyh-napoyiv.html,no
kudy-zdaty-gipsokartonu.html,4171,139,Перенаправлення... — Довідник YOURECO,Перенаправлення...,"Службова сторінка перенаправлення для запиту щодо гіпсокартону: веде на канонічну сторінку утилізації, містить noindex і не входить до sitemap.",https://guide.youreco.com.ua/utylizaciya-gipsokartonu.html,0; url=/utylizaciya-gipsokartonu.html,no
kudy-zdaty-harchovyh-produktiv.html,4275,148,Куди здати харчові продукти — Довідник YOURECO,Куди здати харчові продукти,"Практичний гайд про те, куди здати харчові продукти, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-harchovyh-produktiv.html,0; url=/utylizaciya-harchovyh-produktiv.html,no
kudy-zdaty-kabelyu-ta-drotiv.html,4246,153,Куди здати кабель та дроти — Довідник YOURECO,Куди здати кабель та дроти,"Практичний гайд про те, куди здати кабель та дроти, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-kabelyu-ta-drotiv.html,0; url=/utylizaciya-kabelyu-ta-drotiv.html,no
kudy-zdaty-kondyterskyh-vyrobiv.html,4312,149,Куди здати кондитерські вироби — Довідник YOURECO,Куди здати кондитерські вироби,"Практичний гайд про те, куди здати кондитерські вироби, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-kondyterskyh-vyrobiv.html,0; url=/utylizaciya-kondyterskyh-vyrobiv.html,no
kudy-zdaty-konserviv.html,4100,151,Куди здати консерви — Довідник YOURECO,Куди здати консерви,"Практичний гайд про те, куди здати консерви, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-konserviv.html,0; url=/utylizaciya-konserviv.html,no
kudy-zdaty-kosmetiki.html,4240,146,Редирект: косметика kosmetiki | YOURECO,Перенаправлення із застарілої адреси,Службова сторінка для альтернативної адреси kosmetiki перенаправляє на матеріал про утилізацію косметики.,https://guide.youreco.com.ua/utylizaciya-kosmetyky.html,0; url=/utylizaciya-kosmetyky.html,no
kudy-zdaty-kosmetyky-magazyniv.html,4316,153,Куди здати косметику з магазинів — Довідник YOURECO,Куди здати косметику з магазинів,"Практичний гайд про те, куди здати косметику з магазинів, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-kosmetyky-magazyniv.html,0; url=/utylizaciya-kosmetyky-magazyniv.html,no
kudy-zdaty-kosmetyky.html,4223,144,Редирект: косметика kosmetyky | YOURECO,Перенаправлення із застарілої адреси,Службова сторінка для української транслітерації kosmetyky перенаправляє на матеріал про утилізацію косметики.,https://guide.youreco.com.ua/utylizaciya-kosmetyky.html,0; url=/utylizaciya-kosmetyky.html,no
kudy-zdaty-li-ion-batarej.html,4158,156,Куди здати Li-ion батареї — Довідник YOURECO,Куди здати Li-ion батареї,"Практичний гайд про те, куди здати Li-ion батареї, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-li-ion-batarej.html,0; url=/utylizaciya-li-ion-batarej.html,no
kudy-zdaty-materialiv.html,4155,146,Куди здати матеріали — Довідник YOURECO,Куди здати матеріали,"Практичний гайд про те, куди здати матеріали, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-materialiv.html,0; url=/utylizaciya-materialiv.html,no
kudy-zdaty-metalevoyi-strushky.html,4292,149,Куди здати металеву стружку — Довідник YOURECO,Куди здати металеву стружку,"Практичний гайд про те, куди здати металеву стружку, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-metalevoyi-strushky.html,0; url=/utylizaciya-metalevoyi-strushky.html,no
kudy-zdaty-metalu.html,4037,142,Куди здати метал — Довідник YOURECO,Куди здати метал,"Практичний гайд про те, куди здати метал, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-metalu.html,0; url=/utylizaciya-metalu.html,no
kudy-zdaty-molochnyh-produktiv.html,4272,149,Куди здати молочні продукти — Довідник YOURECO,Куди здати молочні продукти,"Практичний гайд про те, куди здати молочні продукти, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-molochnyh-produktiv.html,0; url=/utylizaciya-molochnyh-produktiv.html,no
kudy-zdaty-myasnyh-produktiv.html,4274,151,Куди здати м’ясні продукти — Довідник YOURECO,Куди здати м’ясні продукти,"Практичний гайд про те, куди здати м’ясні продукти, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-myasnyh-produktiv.html,0; url=/utylizaciya-myasnyh-produktiv.html,no
